Month,Mean Daily Maximum [F],Daily Mean [F],Mean Daily Minimum [F]
jan,32.0,22.7,13.5
feb,38.6,26.9,15.3
mar,47.5,35.7,23.8
apr,57.1,43.3,29.4
may,65.6,50.6,35.5
jun,75.0,57.7,40.4
jul,85.2,64.5,43.9
aug,84.3,63.0,41.7
sep,74.6,54.5,34.4
oct,59.8,43.7,27.5
nov,40.4,31.3,22.2
dec,31.1,22.4,13.7
