STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DLY-CLDD-BASE45,DLY-CLDD-BASE45_ATTRIBUTES,DLY-CLDD-BASE50,DLY-CLDD-BASE50_ATTRIBUTES,DLY-CLDD-BASE55,DLY-CLDD-BASE55_ATTRIBUTES,DLY-CLDD-BASE57,DLY-CLDD-BASE57_ATTRIBUTES,DLY-CLDD-BASE60,DLY-CLDD-BASE60_ATTRIBUTES,DLY-CLDD-BASE70,DLY-CLDD-BASE70_ATTRIBUTES,DLY-CLDD-BASE72,DLY-CLDD-BASE72_ATTRIBUTES,DLY-CLDD-NORMAL,DLY-CLDD-NORMAL_ATTRIBUTES,DLY-DUTR-NORMAL,DLY-DUTR-NORMAL_ATTRIBUTES,DLY-DUTR-STDDEV,DLY-DUTR-STDDEV_ATTRIBUTES,DLY-GRDD-BASE40,DLY-GRDD-BASE40_ATTRIBUTES,DLY-GRDD-BASE45,DLY-GRDD-BASE45_ATTRIBUTES,DLY-GRDD-BASE50,DLY-GRDD-BASE50_ATTRIBUTES,DLY-GRDD-BASE55,DLY-GRDD-BASE55_ATTRIBUTES,DLY-GRDD-BASE57,DLY-GRDD-BASE57_ATTRIBUTES,DLY-GRDD-BASE60,DLY-GRDD-BASE60_ATTRIBUTES,DLY-GRDD-BASE65,DLY-GRDD-BASE65_ATTRIBUTES,DLY-GRDD-BASE70,DLY-GRDD-BASE70_ATTRIBUTES,DLY-GRDD-BASE72,DLY-GRDD-BASE72_ATTRIBUTES,DLY-GRDD-TB4886,DLY-GRDD-TB4886_ATTRIBUTES,DLY-GRDD-TB5086,DLY-GRDD-TB5086_ATTRIBUTES,DLY-HTDD-BASE40,DLY-HTDD-BASE40_ATTRIBUTES,DLY-HTDD-BASE45,DLY-HTDD-BASE45_ATTRIBUTES,DLY-HTDD-BASE50,DLY-HTDD-BASE50_ATTRIBUTES,DLY-HTDD-BASE55,DLY-HTDD-BASE55_ATTRIBUTES,DLY-HTDD-BASE57,DLY-HTDD-BASE57_ATTRIBUTES,DLY-HTDD-BASE60,DLY-HTDD-BASE60_ATTRIBUTES,DLY-HTDD-NORMAL,DLY-HTDD-NORMAL_ATTRIBUTES,DLY-TAVG-NORMAL,DLY-TAVG-NORMAL_ATTRIBUTES,DLY-TAVG-STDDEV,DLY-TAVG-STDDEV_ATTRIBUTES,DLY-TMAX-NORMAL,DLY-TMAX-NORMAL_ATTRIBUTES,DLY-TMAX-STDDEV,DLY-TMAX-STDDEV_ATTRIBUTES,DLY-TMIN-NORMAL,DLY-TMIN-NORMAL_ATTRIBUTES,DLY-TMIN-STDDEV,DLY-TMIN-STDDEV_ATTRIBUTES
USC00105414,11-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,176,R,96,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,223,R,86,R,311,R,59,R,135,R,126,R
USC00105414,12-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,177,R,96,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,224,R,85,R,312,R,59,R,135,R,126,R
USC00105414,13-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,178,R,96,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,18,R,23,R,28,R,33,R,35,R,38,R,43,R,225,R,85,R,313,R,59,R,136,R,126,R
USC00105414,14-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,178,R,96,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,225,R,85,R,315,R,58,R,136,R,126,R
USC00105414,15-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,179,R,97,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,226,R,85,R,316,R,58,R,137,R,125,R
USC00105414,16-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,180,R,97,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,227,R,85,R,318,R,58,R,137,R,125,R
USC00105414,17-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,182,R,97,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,228,R,85,R,319,R,58,R,137,R,125,R
USC00105414,18-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,183,R,97,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,229,R,85,R,321,R,59,R,138,R,126,R
USC00105414,19-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,185,R,98,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,230,R,85,R,322,R,59,R,138,R,126,R
USC00105414,20-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,186,R,98,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,17,R,22,R,27,R,32,R,34,R,37,R,42,R,231,R,85,R,324,R,59,R,138,R,126,R
